timestamp,agent.name,rule.mitre.id,rule.mitre.tactic,rule.description,rule.level,rule.id,rule.mitre.technique,iso_score,svm_score,ae_score,ensemble_score,risky
"Aug 02, 2025 @ 14:53:35.000",prod-node1,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7751716524079362,0.7413668850437648,0.704316669665752,0.7437737273760295,1
"Aug 02, 2025 @ 08:26:45.000",prod-node1,['T1609'],['Defense Evasion'],PAM misconfiguration: illegal module type.,4.0,5554.0,['Container Administration Command'],0.6985498377872373,0.7721091317043378,0.775508624548357,0.7437052619907034,1
"Aug 02, 2025 @ 09:15:03.000",prod-node1,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7751716524079362,0.7413668850437648,0.704316669665752,0.7437737273760295,1
"Aug 02, 2025 @ 17:04:02.000",prod-node1,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7751716524079362,0.7413668850437648,0.704316669665752,0.7437737273760295,1
"Aug 02, 2025 @ 11:18:30.000",prod-node1,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7751716524079362,0.7413668850437648,0.704316669665752,0.7437737273760295,1
"Aug 02, 2025 @ 16:12:04.000",centos,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7040238953911476,0.7341831521614471,0.6888426298092298,0.7085172927476622,1
"Aug 02, 2025 @ 14:50:29.000",centos,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7040238953911476,0.7341831521614471,0.6888426298092298,0.7085172927476622,1
"Aug 02, 2025 @ 15:59:03.000",prod-node1,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7751716524079362,0.7413668850437648,0.704316669665752,0.7437737273760295,1
"Aug 02, 2025 @ 13:25:40.000",prod-node1,['T1098'],['Persistence'],PAM: User changed password.,3.0,5555.0,['Account Manipulation'],0.7541222883820665,0.6831958240834998,0.8218748983491865,0.7531701320826325,1
"Aug 02, 2025 @ 14:45:28.000",prod-node1,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7751716524079362,0.7413668850437648,0.704316669665752,0.7437737273760295,1
"Aug 02, 2025 @ 14:24:30.000",prod-node1,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7751716524079362,0.7413668850437648,0.704316669665752,0.7437737273760295,1
"Aug 02, 2025 @ 14:58:22.000",prod-node1,['T1609'],['Defense Evasion'],PAM misconfiguration: cannot open shared object.,4.0,5553.0,['Container Administration Command'],0.6969756974273417,0.7721093340925712,0.7755086619584269,0.7430756777862361,1
"Aug 02, 2025 @ 13:29:15.000",centos,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7040238953911476,0.7341831521614471,0.6888426298092298,0.7085172927476622,1
"Aug 02, 2025 @ 17:47:48.000",prod-node1,['T1098'],['Persistence'],PAM: User changed password.,3.0,5555.0,['Account Manipulation'],0.7541222883820665,0.6831958240834998,0.8218748983491865,0.7531701320826325,1
"Aug 02, 2025 @ 16:26:37.000",prod-node1,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7751716524079362,0.7413668850437648,0.704316669665752,0.7437737273760295,1
"Aug 02, 2025 @ 17:14:08.000",prod-node1,['T1609'],['Defense Evasion'],PAM misconfiguration: illegal module type.,4.0,5554.0,['Container Administration Command'],0.6985498377872373,0.7721091317043378,0.775508624548357,0.7437052619907034,1
"Aug 02, 2025 @ 09:16:10.000",prod-node1,['T1609'],['Defense Evasion'],PAM misconfiguration: cannot open shared object.,4.0,5553.0,['Container Administration Command'],0.6969756974273417,0.7721093340925712,0.7755086619584269,0.7430756777862361,1
"Aug 02, 2025 @ 15:56:35.000",prod-node1,['T1609'],['Defense Evasion'],PAM misconfiguration: cannot open shared object.,4.0,5553.0,['Container Administration Command'],0.6969756974273417,0.7721093340925712,0.7755086619584269,0.7430756777862361,1
"Aug 02, 2025 @ 11:09:06.000",centos,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7040238953911476,0.7341831521614471,0.6888426298092298,0.7085172927476622,1
"Aug 02, 2025 @ 12:43:48.000",prod-node1,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7751716524079362,0.7413668850437648,0.704316669665752,0.7437737273760295,1
"Aug 02, 2025 @ 17:13:08.000",prod-node1,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7751716524079362,0.7413668850437648,0.704316669665752,0.7437737273760295,1
"Aug 02, 2025 @ 13:29:46.000",centos,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7040238953911476,0.7341831521614471,0.6888426298092298,0.7085172927476622,1
"Aug 02, 2025 @ 15:43:54.000",prod-node1,['T1098'],['Persistence'],PAM: User changed password.,3.0,5555.0,['Account Manipulation'],0.7541222883820665,0.6831958240834998,0.8218748983491865,0.7531701320826325,1
"Aug 02, 2025 @ 17:22:53.000",prod-node1,['T1098'],['Persistence'],PAM: User changed password.,3.0,5555.0,['Account Manipulation'],0.7541222883820665,0.6831958240834998,0.8218748983491865,0.7531701320826325,1
"Aug 02, 2025 @ 14:37:16.000",prod-node1,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7751716524079362,0.7413668850437648,0.704316669665752,0.7437737273760295,1
"Aug 02, 2025 @ 12:50:40.000",centos,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7040238953911476,0.7341831521614471,0.6888426298092298,0.7085172927476622,1
"Aug 02, 2025 @ 08:40:32.000",prod-node1,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7751716524079362,0.7413668850437648,0.704316669665752,0.7437737273760295,1
"Aug 02, 2025 @ 12:11:05.000",prod-node1,['T1098'],['Persistence'],PAM: User changed password.,3.0,5555.0,['Account Manipulation'],0.7541222883820665,0.6831958240834998,0.8218748983491865,0.7531701320826325,1
"Aug 02, 2025 @ 08:03:15.000",centos,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7040238953911476,0.7341831521614471,0.6888426298092298,0.7085172927476622,1
"Aug 02, 2025 @ 13:22:01.000",centos,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7040238953911476,0.7341831521614471,0.6888426298092298,0.7085172927476622,1
"Aug 02, 2025 @ 15:12:43.000",prod-node1,['T1609'],['Defense Evasion'],PAM misconfiguration: illegal module type.,4.0,5554.0,['Container Administration Command'],0.6985498377872373,0.7721091317043378,0.775508624548357,0.7437052619907034,1
"Aug 02, 2025 @ 15:25:49.000",centos,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7040238953911476,0.7341831521614471,0.6888426298092298,0.7085172927476622,1
"Aug 02, 2025 @ 09:39:17.000",prod-node1,['T1609'],['Defense Evasion'],PAM misconfiguration: cannot open shared object.,4.0,5553.0,['Container Administration Command'],0.6969756974273417,0.7721093340925712,0.7755086619584269,0.7430756777862361,1
"Aug 02, 2025 @ 09:03:37.000",centos,['T1078'],['Persistence'],PAM: Login session closed.,3.0,5502.0,['Valid Accounts'],0.7040238953911476,0.7341831521614471,0.6888426298092298,0.7085172927476622,1
"Aug 02, 2025 @ 09:45:20.000",prod-node1,['T1098'],['Persistence'],PAM: User changed password.,3.0,5555.0,['Account Manipulation'],0.7541222883820665,0.6831958240834998,0.8218748983491865,0.7531701320826325,1
