timestamp,agent.name,rule.mitre.id,rule.mitre.tactic,rule.description,rule.level,rule.id,rule.mitre.technique
"Aug 02, 2025 @ 16:39:28.000",wazuh-agent,['T1110'],['Credential Access'],PAM: Multiple failed logins in a small period of time.,10,5551,['Brute Force']
"Aug 02, 2025 @ 12:24:00.000",debian,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 14:37:02.000",debian,['T1609'],['Defense Evasion'],PAM misconfiguration: cannot open shared object.,4,5553,['Container Administration Command']
"Aug 02, 2025 @ 10:14:03.000",centos,['T1110.001'],['Credential Access'],PAM: Attempt to login with an invalid user.,5,5504,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 13:46:35.000",debian,['T1098'],['Persistence'],PAM: User changed password.,3,5555,['Account Manipulation']
"Aug 02, 2025 @ 11:34:19.000",ubuntu,['T1098'],['Persistence'],PAM: User changed password.,3,5555,['Account Manipulation']
"Aug 02, 2025 @ 17:32:26.000",debian,['T1110.001'],['Credential Access'],unix_chkpwd: Password check failed.,5,5557,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 14:31:35.000",ubuntu,['T1098'],['Persistence'],PAM: User changed password.,3,5555,['Account Manipulation']
"Aug 02, 2025 @ 16:09:14.000",centos,['T1110.001'],['Credential Access'],PAM: Attempt to login with an invalid user.,5,5504,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 12:57:58.000",debian,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 10:27:01.000",prod-node1,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 17:59:11.000",prod-node1,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 11:32:40.000",ubuntu,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 15:11:11.000",debian,['T1110'],['Credential Access'],PAM: Multiple failed logins in a small period of time.,10,5551,['Brute Force']
"Aug 02, 2025 @ 17:11:54.000",wazuh-agent,['T1098'],['Persistence'],PAM: User changed password.,3,5555,['Account Manipulation']
"Aug 02, 2025 @ 14:53:35.000",prod-node1,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 10:38:50.000",centos,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 09:23:29.000",centos,['T1110.001'],['Credential Access'],PAM: User login failed.,5,5503,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 13:11:36.000",prod-node1,['T1110.001'],['Credential Access'],PAM: Attempt to login with an invalid user.,5,5504,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 09:13:34.000",wazuh-agent,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 13:17:50.000",debian,['T1098'],['Persistence'],PAM: User changed password.,3,5555,['Account Manipulation']
"Aug 02, 2025 @ 17:48:40.000",centos,['T1110.001'],['Credential Access'],PAM: User login failed.,5,5503,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 10:16:35.000",centos,['T1110.001'],['Credential Access'],PAM: User login failed.,5,5503,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 17:24:51.000",centos,['T1110.001'],['Credential Access'],PAM: Attempt to login with an invalid user.,5,5504,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 08:31:51.000",debian,['T1110.001'],['Credential Access'],PAM: User login failed.,5,5503,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 09:49:46.000",centos,['T1110.001'],['Credential Access'],PAM: User login failed.,5,5503,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 08:26:45.000",prod-node1,['T1609'],['Defense Evasion'],PAM misconfiguration: illegal module type.,4,5554,['Container Administration Command']
"Aug 02, 2025 @ 09:28:32.000",ubuntu,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 16:02:59.000",wazuh-agent,['T1609'],['Defense Evasion'],PAM misconfiguration: illegal module type.,4,5554,['Container Administration Command']
"Aug 02, 2025 @ 17:21:44.000",debian,['T1110.001'],['Credential Access'],PAM: User login failed.,5,5503,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 16:06:11.000",debian,['T1609'],['Defense Evasion'],PAM misconfiguration: illegal module type.,4,5554,['Container Administration Command']
"Aug 02, 2025 @ 09:15:03.000",prod-node1,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 17:23:20.000",debian,['T1609'],['Defense Evasion'],PAM misconfiguration: illegal module type.,4,5554,['Container Administration Command']
"Aug 02, 2025 @ 10:39:44.000",ubuntu,['T1110.001'],['Credential Access'],PAM: Attempt to login with an invalid user.,5,5504,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 13:48:30.000",debian,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 12:00:27.000",ubuntu,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 15:32:57.000",debian,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 09:20:20.000",centos,['T1110.001'],['Credential Access'],PAM: Attempt to login with an invalid user.,5,5504,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 11:32:20.000",prod-node1,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 14:06:23.000",debian,['T1098'],['Persistence'],PAM: User changed password.,3,5555,['Account Manipulation']
"Aug 02, 2025 @ 09:22:14.000",debian,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 16:08:24.000",wazuh-agent,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 09:13:49.000",ubuntu,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 12:09:03.000",wazuh-agent,['T1110'],['Credential Access'],PAM: Multiple failed logins in a small period of time.,10,5551,['Brute Force']
"Aug 02, 2025 @ 08:01:02.000",centos,['T1098'],['Persistence'],PAM: User changed password.,3,5555,['Account Manipulation']
"Aug 02, 2025 @ 10:37:31.000",debian,['T1098'],['Persistence'],PAM: User changed password.,3,5555,['Account Manipulation']
"Aug 02, 2025 @ 09:46:35.000",debian,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 17:00:19.000",wazuh-agent,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 15:24:02.000",ubuntu,['T1098'],['Persistence'],PAM: User changed password.,3,5555,['Account Manipulation']
"Aug 02, 2025 @ 11:13:03.000",centos,['T1110.001'],['Credential Access'],unix_chkpwd: Password check failed.,5,5557,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 10:57:13.000",wazuh-agent,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 13:43:39.000",prod-node1,['T1110'],['Credential Access'],PAM: Multiple failed logins in a small period of time.,10,5551,['Brute Force']
"Aug 02, 2025 @ 14:57:30.000",prod-node1,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 15:41:57.000",centos,['T1110.001'],['Credential Access'],PAM: Attempt to login with an invalid user.,5,5504,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 08:35:09.000",ubuntu,['T1609'],['Defense Evasion'],PAM misconfiguration: cannot open shared object.,4,5553,['Container Administration Command']
"Aug 02, 2025 @ 13:24:15.000",ubuntu,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 08:22:20.000",wazuh-agent,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 11:36:03.000",ubuntu,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 16:54:58.000",centos,['T1098'],['Persistence'],PAM: User changed password.,3,5555,['Account Manipulation']
"Aug 02, 2025 @ 15:27:31.000",prod-node1,['T1110'],['Credential Access'],PAM: Multiple failed logins in a small period of time.,10,5551,['Brute Force']
"Aug 02, 2025 @ 11:25:16.000",debian,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
